                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14         26.725        2.6371e+06         1.0452e+06           34032         10.697         5.2084           2.0847     
     '@swpref/private/datastruct'                                          14        0.66493        5.4523e+05                144            8928        0.26615        0.66493          0.26615     
     'swpref.swpref>swpref.set_data'                                      154          19.98        1.3372e+06         6.9109e+05           34032          7.997         8.0778           3.2332     
     'swpref.swpref>swpref.get_data'                                        4        0.17173              9872               4832            2064       0.068736       0.070943         0.028396     
     'swpref.swpref>swpref.get_set_static'                                172         3.0271        2.6597e+05                960            5440         1.2116         3.0271           1.2116     
     'swpref.swpref>swpref.check_names'                                   158         1.0968             68400              67232           33456        0.43902         1.0968          0.43902     
     '@swpref/private/datastruct>mustBeInteger'                            84         1.7318        1.3848e+05         1.5198e+05            2832        0.69316         1.7318          0.69316     
     '@swpref/private/datastruct>mustBeNonnegative'                        84        0.76067             19648               1712            1168        0.30447        0.76067          0.30447     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.28933             19504               3968            5152        0.11581       0.066577         0.026648     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.28754             17696               3968            3376        0.11509       0.064732          0.02591     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.28549             16368               3968            3328        0.11427        0.06422         0.025705     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.28959             50112              37360           33392        0.11591       0.064173         0.025686     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14        0.28484             16752               3968            3408        0.11401       0.063951         0.025597     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14        0.28493             48896              37536           33568        0.11405       0.064252         0.025718     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.28422             15328               3968            3024        0.11376       0.064141         0.025673     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14        0.28626             17968               3968            3456        0.11458       0.064538         0.025832     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.29949             16368               3968            3376        0.11987        0.06413         0.025669     
     '@swpref/private/datastruct>check_size'                              126          2.011             1e+05              66960           33568        0.80492          2.011          0.80492     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84         1.1423             90224              23904            4336        0.45723        0.38374          0.15359     
     '@swpref/private/datastruct>mustBeLessThan'                           84         0.7586             18912                  0            1168        0.30364         0.7586          0.30364     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.19136             50576              44848           32880       0.076595       0.064063         0.025642     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14         0.1273             36256               8000           32880       0.050953         0.1273         0.050953     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.38498             33024              15552            4352        0.15409         0.1313         0.052555     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'               14        0.19014             14656               3968            2352       0.076107       0.063828         0.025548     
