                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5         9.5747        1.1386e+06         3.5805e+05           33600          35.12         1.8716           6.8651     
     '@swpref/private/datastruct'                                           5        0.24582        2.5584e+05                  0            8928        0.90169        0.24582          0.90169     
     'swpref.swpref>swpref.set_data'                                       55         7.1448        5.7917e+05         2.5898e+05           33600         26.207         2.8863           10.587     
     'swpref.swpref>swpref.get_data'                                        4         0.1678              9712               4816            2064         0.6155       0.069264          0.25406     
     'swpref.swpref>swpref.get_set_static'                                 64         1.1203             33504              34288            3232         4.1091         1.1203           4.1091     
     'swpref.swpref>swpref.check_names'                                    59        0.42135             14176                  0            1328         1.5455        0.42135           1.5455     
     '@swpref/private/datastruct>mustBeInteger'                            30        0.61774             60032              83472            2832         2.2659        0.61774           2.2659     
     '@swpref/private/datastruct>mustBeNonnegative'                        30        0.27184              9280               1712            1168        0.99713        0.27184          0.99713     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5        0.10839             11152               1232            5152        0.39758        0.02668         0.097863     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5        0.10353              9344               1232            3376        0.37974       0.023358         0.085678     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5        0.10258              8016               1232            3328        0.37626       0.023129         0.084838     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5        0.10213              8368               1232            3376        0.37462       0.023082         0.084666     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5        0.10203              8400               1232            3408        0.37425       0.023036         0.084497     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5        0.10157              6976               1232            3024        0.37258       0.022985          0.08431     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5        0.10152              6976               1232            3024        0.37237       0.023043         0.084523     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5          0.103              9616               1232            3456        0.37779        0.02318         0.085025     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5        0.10266              8016               1232            3376        0.37656       0.023052         0.084556     
     '@swpref/private/datastruct>check_size'                               45        0.71585             17488                  0            1376         2.6258        0.71585           2.6258     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30        0.40976             42560               9792            4336          1.503        0.13807          0.50643     
     '@swpref/private/datastruct>mustBeLessThan'                           30        0.27169             10848               2304            2496        0.99657        0.27169          0.99657     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5        0.06907              9344               9376            4352        0.25335       0.023115         0.084787     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.045955              1648               8144            1072        0.16856       0.045955          0.16856     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10         0.1368             15360               9264            4352        0.50179       0.046038          0.16887     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'                5       0.067763              6304               1232            2352        0.24856       0.022907         0.084024     
