                         FunctionName                          NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed    PeakMem    PercentageTime    SelfTime     SelfPercentageTime
    ________________________________________________________    ________    _________    _________________    _____________    _______    ______________    _________    __________________

     'swpref.swpref>swpref.swpref'                                 14         0.16292            0                  0             0            18.812        0.048515           5.6018     
     '@swpref\private\datastruct'                                  14        0.019897            0                  0             0            2.2973        0.019897           2.2973     
     'swpref.swpref>swpref.set_data'                              154        0.084224            0                  0             0            9.7249        0.028201           3.2562     
     'swpref.swpref>swpref.get_data'                                4       0.0023761            0                  0             0           0.27436       0.0010967          0.12663     
     'swpref.swpref>swpref.get_set_static'                        172       0.0079709            0                  0             0           0.92036       0.0079709          0.92036     
     'swpref.swpref>swpref.check_names'                           158       0.0082593            0                  0             0           0.95366       0.0082593          0.95366     
     '@swpref\private\datastruct>mustBeInteger'                    84        0.014337            0                  0             0            1.6554        0.014337           1.6554     
     '@swpref\private\datastruct>mustBeNonnegative'                84       0.0020396            0                  0             0            0.2355       0.0020396           0.2355     
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        14       0.0022555            0                  0             0           0.26043        0.001016          0.11731     

                               :                                   :            :                :                  :             :             :               :                :         

     'strtok'                                                       1       0.0030831            0                  0             0           0.35599       0.0011556          0.13343     
     'strtok>doStrtok'                                              1       0.0019275            0                  0             0           0.22256       0.0019275          0.22256     
     'sw_parstr'                                                    1       0.0090301            0                  0             0            1.0427        0.005947          0.68667     
     'sumn'                                                         1       0.0014761            0                  0             0           0.17044       0.0014761          0.17044     
     'sw_resconv'                                                   1       0.0057649            0                  0             0           0.66564       0.0049738           0.5743     
     'gaussfwhm'                                                    1       0.0007911            0                  0             0          0.091344       0.0007911         0.091344     
     'BiFeO3'                                                       1         0.86572            0                  0             0             99.96       0.0001484         0.017135     
     'run'                                                          1         0.86587            0                  0             0            99.978       0.0001539          0.01777     
     'run_performance_tests'                                        1         0.86606            0                  0             0               100       0.0001928         0.022262     

	Display all 92 rows.

