                         FunctionName                          NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime     SelfPercentageTime
    ________________________________________________________    ________    _________    _________________    _____________    __________    ______________    _________    __________________

     'swpref.swpref>swpref.swpref'                                 26         0.32453                0                  0               0        0.059105        0.09009          0.016407    
     '@swpref\private\datastruct'                                  26        0.030484                0                  0               0       0.0055518       0.030484         0.0055518    
     'swpref.swpref>swpref.set_data'                              286         0.18578                0                  0               0        0.033835       0.046446         0.0084588    
     'swpref.swpref>swpref.get_data'                                4       0.0025109                0                  0               0      0.00045729       0.001177        0.00021436    
     'swpref.swpref>swpref.get_set_static'                        316        0.012148                0                  0               0       0.0022125       0.012148         0.0022125    
     'swpref.swpref>swpref.check_names'                           290        0.015685                0                  0               0       0.0028566       0.015685         0.0028566    
     '@swpref\private\datastruct>mustBeInteger'                   156        0.023663                0                  0               0       0.0043096       0.023663         0.0043096    
     '@swpref\private\datastruct>mustBeNonnegative'               156       0.0025238                0                  0               0      0.00045964      0.0025238        0.00045964    
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        26       0.0028337                0                  0               0      0.00051608      0.0013912        0.00025337    

                               :                                   :            :                :                  :              :               :               :                :         

     'strtok'                                                       1       0.0033229                0                  0               0      0.00060518      0.0012462        0.00022696    
     'strtok>doStrtok'                                              1       0.0020767                0                  0               0      0.00037821      0.0020767        0.00037821    
     'sw_parstr'                                                    1         0.00975                0                  0               0       0.0017757      0.0064271         0.0011705    
     'sumn'                                                         1       0.0052801                0          1.099e+07               0      0.00096163      0.0052801        0.00096163    
     'sw_resconv'                                                   1       0.0049387                0                  0               0      0.00089945      0.0040305        0.00073405    
     'gaussfwhm'                                                    1       0.0009082                0                  0               0       0.0001654      0.0009082         0.0001654    
     'BiFeO3'                                                       1          549.08       2.6638e+10         2.6639e+10      6.0839e+08             100      0.0001512        2.7537e-05    
     'run'                                                          1          549.08       2.6638e+10         2.6639e+10      6.0839e+08             100      0.0001535        2.7956e-05    
     'run_performance_tests'                                        1          549.08       2.6638e+10         2.6639e+10      6.0839e+08             100      0.0002181        3.9721e-05    

	Display all 95 rows.

