                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14         20.029        2.4238e+06         6.3332e+06           34016         39.479          4.007           7.8984     
     '@swpref/private/datastruct'                                          14        0.50661        5.5677e+05                  0            8928        0.99861        0.50661          0.99861     
     'swpref.swpref>swpref.set_data'                                      154         14.843        1.1256e+06         5.8367e+06           34016         29.257         6.2502            12.32     
     'swpref.swpref>swpref.get_data'                                        4        0.14021             10448               4656            2080        0.27637       0.057887           0.1141     
     'swpref.swpref>swpref.get_set_static'                                172         2.3258        1.1686e+05         2.9819e+05           33888         4.5845         2.3258           4.5845     
     'swpref.swpref>swpref.check_names'                                   158        0.84015             33184                  0            1328         1.6561        0.84015           1.6561     
     '@swpref/private/datastruct>mustBeInteger'                            84          1.347        1.4422e+05         1.5734e+05            2832         2.6552          1.347           2.6552     
     '@swpref/private/datastruct>mustBeNonnegative'                        84         0.5938             19648               1712            1168         1.1705         0.5938           1.1705     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.22496             19824               4128            5152        0.44342       0.050418         0.099381     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.21938             18144               4128            3376        0.43243       0.049575         0.097719     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.22925             16528               4128            3328        0.45187       0.055104          0.10862     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.22406             17056               4128            3392        0.44165       0.050563         0.099667     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14        0.22389             17056               4224            3440        0.44131       0.051301          0.10112     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14        0.22218             15536               4128            3056        0.43795       0.050524          0.09959     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.21837             15536               4128            3056        0.43043       0.049239         0.097057     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14        0.21886             18176               4128            3488         0.4314       0.049662         0.097891     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.22697             16896               4288            3424        0.44738       0.051185          0.10089     
     '@swpref/private/datastruct>check_size'                              126         1.5503             34064                160            1472         3.0559         1.5503           3.0559     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84        0.88786             93472              26992            4336         1.7501        0.29913          0.58963     
     '@swpref/private/datastruct>mustBeLessThan'                           84        0.58873             18576               2128            1168         1.1605        0.58873           1.1605     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.14921             17856              12416            4352        0.29411       0.049996         0.098549     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14        0.09921              3376               8288            1072        0.19556        0.09921          0.19556     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.29777             32480              15120            4400        0.58694        0.10011          0.19733     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,4)'               14        0.14889             14864               4128            2384        0.29349       0.049929         0.098417     
