                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         22         32.461        1.1232e+07         4.9429e+06      6.1006e+05         9.7347           6.36           1.9073     
     '@swpref/private/datastruct'                                          22        0.80169        7.9691e+05                832            8928        0.24042        0.80169          0.24042     
     'swpref.swpref>swpref.set_data'                                      242         24.236        8.3812e+06         4.1893e+06      5.9165e+05         7.2681         9.8065           2.9409     
     'swpref.swpref>swpref.get_data'                                        4        0.13283             10464               4784            2064       0.039834       0.054791         0.016431     
     'swpref.swpref>swpref.get_set_static'                                268          3.638        3.1011e+06         2.1938e+05      4.9746e+05          1.091          3.638            1.091     
     'swpref.swpref>swpref.check_names'                                   246         1.3089        4.1288e+05           6.78e+05      2.9496e+05        0.39252         1.3089          0.39252     
     '@swpref/private/datastruct>mustBeInteger'                           132         2.1051        3.5002e+05         3.3784e+05           65200        0.63129         2.1051          0.63129     
     '@swpref/private/datastruct>mustBeNonnegative'                       132        0.92219             82896              37120           33488        0.27655        0.92219          0.27655     
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                22        0.34856             27584               6112            5152        0.10453       0.078431         0.023521     
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                22        0.34806             25488               6416            3376        0.10438       0.078647         0.023585     
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                22         0.3501             26752               9296            3328        0.10499       0.078363           0.0235     
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                22        0.34844             25360               7408            3376        0.10449        0.07925         0.023766     
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                22        0.34775             24400               6416            3408        0.10429       0.078281         0.023476     
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                22        0.34537             22720               6448            2880        0.10357       0.078466         0.023531     
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                22         0.3465             97264              76096           34144        0.10391       0.077795          0.02333     
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                22        0.34862             58912              39856           33440        0.10455       0.078146         0.023435     
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               22        0.34759             25776               8176            3376        0.10424       0.078387         0.023508     
     '@swpref/private/datastruct>check_size'                              198         2.4252        1.2888e+05              71712           33440         0.7273         2.4252           0.7273     
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'               132         1.3866        1.6323e+05              42304           27184        0.41584        0.46694          0.14003     
     '@swpref/private/datastruct>mustBeLessThan'                          132         0.9197             56080               2768           27184        0.27581         0.9197          0.27581     
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        22        0.23354             58912              48416           32880       0.070036       0.078519         0.023547     
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 22        0.15502             38656              42000           32880       0.046488        0.15502         0.046488     
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               44        0.46224             47328              20592            4352        0.13862         0.1553         0.046574     
