                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                          5         7.7185        1.3927e+06         1.4188e+06           98640          1.0355         1.516           0.20338    
     '@swpref/private/datastruct'                                           5        0.19968        2.6186e+05                  0            9152        0.026789       0.19968          0.026789    
     'swpref.swpref>swpref.set_data'                                       55         5.7478        8.2133e+05         1.3184e+06           98640          0.7711        2.3278           0.31228    
     'swpref.swpref>swpref.get_data'                                        4        0.14178             10464               4048            2080         0.01902      0.056617         0.0075955    
     'swpref.swpref>swpref.get_set_static'                                 64        0.90934             58768               2448            3376         0.12199       0.90934           0.12199    
     'swpref.swpref>swpref.check_names'                                    59        0.32932             14576                  0            1328         0.04418       0.32932           0.04418    
     '@swpref/private/datastruct>mustBeInteger'                            30        0.49871             60928              84624            2832        0.066904       0.49871          0.066904    
     '@swpref/private/datastruct>mustBeNonnegative'                        30         0.2187              9488               1680            1168        0.029339        0.2187          0.029339    
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                 5       0.084112             11568               1296            5200        0.011284      0.019051         0.0025558    
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                 5       0.083133              9728               1296            3408        0.011153      0.018703         0.0025091    
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                 5       0.082148              8112               1296            3360        0.011021      0.018637         0.0025002    
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                 5       0.082426              8624               1296            3408        0.011058      0.018743         0.0025145    
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                 5       0.082313              8608               1392            3440        0.011043      0.018528         0.0024856    
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                 5       0.082226              7088               1296            3056        0.011031      0.018674         0.0025052    
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                 5        0.08204             40544              34752           33456        0.011006      0.018853         0.0025292    
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                 5       0.085069             10528               2112            3488        0.011412      0.019871         0.0026658    
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'                5          0.082              7232         9.8483e+05            3424        0.011001      0.018446         0.0024746    
     '@swpref/private/datastruct>check_size'                               45        0.57596             52000         1.0178e+06           33456        0.077268       0.57596          0.077268    
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                30        0.32881             40528               7808            4384        0.044112       0.11135          0.014938    
     '@swpref/private/datastruct>mustBeLessThan'                           30        0.21747              8608                  0            1168        0.029174       0.21747          0.029174    
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'         5       0.055284              9472               9200            4400       0.0074166      0.018569         0.0024911    
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                  5       0.036715              1680               7920            1088       0.0049255      0.036715         0.0049255    
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               10        0.11001             15616               9168            4400        0.014758      0.037228         0.0049943    
