                             FunctionName                              NumCalls    TotalTime    TotalMemAllocated    TotalMemFreed     PeakMem      PercentageTime    SelfTime    SelfPercentageTime
    ________________________________________________________________    ________    _________    _________________    _____________    __________    ______________    ________    __________________

     'swpref.swpref>swpref.swpref'                                         14         21.533        1.8944e+07         8.7838e+06      2.0393e+06          2.7862        4.2213           0.54618    
     '@swpref/private/datastruct'                                          14        0.55428        6.8421e+06         5.4406e+05      2.0393e+06        0.071717       0.55428          0.071717    
     'swpref.swpref>swpref.set_data'                                      154         16.053        2.4466e+06         7.6046e+05       3.927e+05           2.077        6.4892           0.83962    
     'swpref.swpref>swpref.get_data'                                        4        0.13408             10496               4080            2080        0.017349      0.055196         0.0071416    
     'swpref.swpref>swpref.get_set_static'                                172         2.4237         5.571e+05              69216      1.3107e+05          0.3136        2.4237            0.3136    
     'swpref.swpref>swpref.check_names'                                   158        0.88419             33584                  0            1328          0.1144       0.88419            0.1144    
     '@swpref/private/datastruct>mustBeInteger'                            84         1.3941        1.4584e+05         1.9211e+05            2832         0.18038        1.3941           0.18038    
     '@swpref/private/datastruct>mustBeNonnegative'                        84         0.6211             33296               9840           12848        0.080362        0.6211          0.080362    
     '@swpref/private/datastruct>@(x)check_size(x,Size 1 )'                14        0.23045             19920               4176            5200        0.029817      0.052164         0.0067493    
     '@swpref/private/datastruct>@(x)check_size(x,Size 2 )'                14        0.23065             18096               4192            3408        0.029843      0.052084          0.006739    
     '@swpref/private/datastruct>@(x)check_size(x,Size 4 )'                14        0.23114             16464               4176            3360        0.029906      0.052115          0.006743    
     '@swpref/private/datastruct>@(x)check_size(x,Size 5 )'                14        0.23239             16976               4176            3408        0.030068      0.052493         0.0067919    
     '@swpref/private/datastruct>@(x)check_size(x,Size 6 )'                14        0.22979             17840               5008            3440        0.029731      0.051861         0.0067101    
     '@swpref/private/datastruct>@(x)check_size(x,Size 7 )'                14        0.23045             16272               5008            3056        0.029817      0.051893         0.0067143    
     '@swpref/private/datastruct>@(x)check_size(x,Size 8 )'                14        0.22717             15440               4176            3056        0.029393        0.0513         0.0066376    
     '@swpref/private/datastruct>@(x)check_size(x,Size 9 )'                14        0.22892             18064               4176            3488         0.02962      0.051368         0.0066464    
     '@swpref/private/datastruct>@(x)check_size(x,Size 10 )'               14        0.22924             16608               4176            3424         0.02966      0.051502         0.0066637    
     '@swpref/private/datastruct>check_size'                              126         1.6034             36000               1664            1472         0.20746        1.6034           0.20746    
     '@swpref/private/datastruct>@(x)mustBeLessThan(x,256)'                84        0.92268             92320              24768            4384         0.11938       0.31066          0.040195    
     '@swpref/private/datastruct>mustBeLessThan'                           84        0.61202             18992                  0            1168        0.079188       0.61202          0.079188    
     '@swpref/private/datastruct>@(x)mustBeGreaterThanOrEqual(x,1)'        14        0.15403             51312              45856           33472         0.01993      0.051519         0.0066659    
     '@swpref/private/datastruct>mustBeGreaterThanOrEqual'                 14        0.10252             36896               8208           33472        0.013264       0.10252          0.013264    
     '@swpref/private/datastruct>@(x)mustBeGreaterThan(x,1)'               28        0.30821             32320              15360            4400        0.039878       0.10373          0.013421    
