                         FunctionName                          NumCalls         TotalTime         TotalMemAllocated    TotalMemFreed     PeakMem        PercentageTime             SelfTime           SelfPercentageTime 
    ________________________________________________________    ________    ___________________    _________________    _____________    _________    ____________________    ____________________    ____________________

     'swpref.swpref>swpref.swpref'                                 31         0.350934800179258                 0                  0             0      0.0597550648787775      0.0993177000507318      0.0169112199961673
     '@swpref\private\datastruct'                                  31        0.0327928000167506                 0                  0             0     0.00558376054912985      0.0327928000167506     0.00558376054912985
     'swpref.swpref>swpref.set_data'                              341         0.200031100102176                 0                  0             0      0.0340600913852751      0.0485627000248059     0.00826896417564917
     'swpref.swpref>swpref.get_data'                                4       0.00226390000115641                 0                  0             0    0.000385483261788413     0.00114250000058359     0.00019453802137606
     'swpref.swpref>swpref.get_set_static'                        376        0.0115689000059094                 0                  0             0     0.00196988263938512      0.0115689000059094     0.00196988263938512
     'swpref.swpref>swpref.check_names'                           345        0.0169050000086351                 0                  0             0     0.00287848162044839      0.0169050000086351     0.00287848162044839
     '@swpref\private\datastruct>mustBeInteger'                   186        0.0248439000126903                 0                  0             0     0.00423026971489251      0.0248439000126903     0.00423026971489251
     '@swpref\private\datastruct>mustBeNonnegative'               186       0.00220920000112846                 0                  0             0    0.000376169275119467     0.00220920000112846    0.000376169275119467
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        31       0.00275790000140874                 0                  0             0    0.000469598607573773     0.00157920000080666    0.000268896668146235
     '@swpref\private\datastruct>@(x)check_size(x,Size 2 )'        31       0.00252220000128835                 0                  0             0    0.000429465030647438     0.00141110000072079    0.000240273612222108

                               :                                   :                 :                     :                  :              :                 :                       :                       :          

     'spinw.spinw>spinw.addlistener'                                5       0.00323810000165403                 0                  0             0    0.000551364172444481     0.00323810000165403    0.000551364172444481
     'profile_spinwave'                                             1          587.288611599988       22980292608        22955765760     608391168        99.9999688568892        0.10990400005619      0.0187137914234786
     'swfiles\private\sw_issymspec'                                 3       0.00129700000066251                 0                  0             0      0.0002208453511814     0.00129700000066251      0.0002208453511814
     'strtok'                                                       1       0.00624510000319001                 0                  0             0     0.00106337802826751     0.00266890000136328    0.000454444223414062
     'strtok>doStrtok'                                              1       0.00357620000182673                 0                  0             0    0.000608933804853449     0.00357620000182673    0.000608933804853449
     'sw_parstr'                                                    1        0.0203429000103912                 0                  0             0     0.00346386653396153      0.0140978000072012     0.00240048850569402
     'sumn'                                                         1       0.00604640000308852                 0           10985472             0     0.00102954458857611     0.00604640000308852     0.00102954458857611
     'sw_resconv'                                                   1       0.00910780000465228                 0                  0             0     0.00155082134887429     0.00726260000370975     0.00123663180222825
     'gaussfwhm'                                                    1       0.00184520000094253                 0                  0             0    0.000314189546646044     0.00184520000094253    0.000314189546646044
     'BiFeO3'                                                       1          587.288794499989       22980292608        22955765760     608391168                     100    0.000182900000140762     3.1143110826162e-05

	Display all 93 rows.

