                         FunctionName                          NumCalls         TotalTime         TotalMemAllocated    TotalMemFreed     PeakMem         PercentageTime             SelfTime           SelfPercentageTime 
    ________________________________________________________    ________    ___________________    _________________    _____________    __________    ____________________    ____________________    ____________________

     'swpref.swpref>swpref.swpref'                                 14          12.4742904045418             20480              20480          20480        1.13660081655525        2.93180480106745       0.267132768502857
     '@swpref\private\datastruct'                                  14          2.64772120096401                 0                  0              0       0.241248358137522        2.64772120096401       0.241248358137522
     'swpref.swpref>swpref.set_data'                              154          6.24613800227417             20480                  0          20480       0.569119791464595       0.611170500222523      0.0556870865660209
     'swpref.swpref>swpref.get_data'                                4       0.00576210000209793                 0                  0              0    0.000525016442223682     0.00203670000074155    0.000185574875110979
     'swpref.swpref>swpref.get_set_static'                        172         0.328178700119487                 0                  0              0      0.0299021560694179       0.328178700119487      0.0299021560694179
     'swpref.swpref>swpref.check_names'                           158          0.23463860008543                 0                  0              0      0.0213792060152281        0.23463860008543      0.0213792060152281
     '@swpref\private\datastruct>mustBeInteger'                    84         0.958235200348886             20480                  0          20480      0.0873100493773969       0.958235200348886      0.0873100493773969
     '@swpref\private\datastruct>mustBeNonnegative'                84        0.0152642000055576                 0                  0              0     0.00139080473740316      0.0152642000055576     0.00139080473740316
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        14         0.124706300045405                 0                  0              0      0.0113626729749361       0.081982000029849     0.00746982835535341
     '@swpref\private\datastruct>@(x)check_size(x,Size 2 )'        14        0.0588270000214184                 0                  0              0     0.00536004967749476       0.045068300016409     0.00410641927822661

                               :                                   :                 :                     :                  :              :                  :                       :                       :          

     'spinw.spinw>spinw.addlistener'                                5        0.0246782000089851                 0                  0              0     0.00224856575978974      0.0246782000089851     0.00224856575978974
     'profile_spinwave'                                             1          1097.50791539959       21303521280        21282746368     1520955392        99.9999480824059       0.543397500197671      0.0495119179054773
     'swfiles\private\sw_issymspec'                                 3        0.0112083000040808                 0                  0              0     0.00102124950788353      0.0112083000040808     0.00102124950788353
     'strtok'                                                       1        0.0181398000066045                 0                  0              0     0.00165281637921056     0.00989090000360119    0.000901213989411884
     'strtok>doStrtok'                                              1       0.00824890000300335                 0                  0              0    0.000751602389798672     0.00824890000300335    0.000751602389798672
     'sw_parstr'                                                    1        0.0799432000291066                 0                  0              0     0.00728406213775815      0.0618034000225021      0.0056312457585476
     'sumn'                                                         1        0.0160087000058286                 0           10989568              0     0.00145864020385385      0.0160087000058286     0.00145864020385385
     'sw_resconv'                                                   1        0.0624334000227315                 0                  0              0     0.00568864850383159      0.0531774000193614     0.00484528372550036
     'gaussfwhm'                                                    1       0.00925600000337003                 0                  0              0    0.000843364778331234     0.00925600000337003    0.000843364778331234
     'BiFeO3'                                                       1          1097.50848519959       21303521280        21282746368     1520955392                     100    0.000569800000221221    5.19175940692246e-05

	Display all 92 rows.

