                         FunctionName                          NumCalls         TotalTime          TotalMemAllocated    TotalMemFreed    PeakMem     PercentageTime            SelfTime          SelfPercentageTime
    ________________________________________________________    ________    ____________________    _________________    _____________    _______    _________________    ____________________    __________________

     'swpref.swpref>swpref.swpref'                                  5         0.0994070382670593               0                  0             0     15.3442093580737      0.0202941078122821      3.13254518427962
     '@swpref\private\datastruct'                                   5         0.0119554046022715               0                  0             0     1.84540485639356      0.0119554046022715      1.84540485639356
     'swpref.swpref>swpref.set_data'                               55         0.0622430239606524               0                  0             0     9.60766971213882      0.0148533057178278      2.29271726194611
     'swpref.swpref>swpref.get_data'                                4        0.00202050077779828               0                  0             0    0.311879193698512    0.000896700345187684     0.138412310314009
     'swpref.swpref>swpref.get_set_static'                         64         0.0045440017492281               0                  0             0    0.701400176276189      0.0045440017492281     0.701400176276189
     'swpref.swpref>swpref.check_names'                            59        0.00317660122284286               0                  0             0    0.490331822174063     0.00317660122284286     0.490331822174063
     '@swpref\private\datastruct>mustBeInteger'                    30        0.00660660254323291               0                  0             0     1.01977781791071     0.00660660254323291      1.01977781791071
     '@swpref\private\datastruct>mustBeNonnegative'                30        0.00134000051583751               0                  0             0    0.206838960433559     0.00134000051583751     0.206838960433559
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'         5         0.0014989005770066               0                  0             0    0.231366356562583    0.000598000230202113    0.0923057450293047
     '@swpref\private\datastruct>@(x)check_size(x,Size 2 )'         5        0.00132380050960127               0                  0             0    0.204338370016377    0.000551200212186296    0.0850818171574461

                               :                                   :                 :                      :                  :             :               :                     :                      :         

     'spinw.spinw>spinw.addlistener'                                5       0.000819000315276807               0                  0             0    0.126418737757526    0.000819000315276807     0.126418737757526
     'profile_spinwave'                                             1          0.647488849252916        24219648           24186880       3682304     99.9446782959557        0.05505752119457      8.49853437617215
     'swfiles\private\sw_issymspec'                                 3       0.000687500264655439               0                  0             0    0.106120735297069    0.000687500264655439     0.106120735297069
     'strtok'                                                       1         0.0023288008964794               0                  0             0    0.359467590341547    0.000886100341107178      0.13677612152252
     'strtok>doStrtok'                                              1        0.00144270055537222               0                  0             0    0.222691468819027     0.00144270055537222     0.222691468819027
     'sw_parstr'                                                    1         0.0068835026498265               0                  0             0     1.06251939115254      0.0045547017533471     0.703051800810994
     'sumn'                                                         1        0.00102600039496215               0                  0             0    0.158370726421516     0.00102600039496215     0.158370726421516
     'sw_resconv'                                                   1        0.00974260375044667               0                  0             0      1.5038427282985     0.00851210327676155      1.31390590679589
     'gaussfwhm'                                                    1        0.00123050047368512               0                  0             0    0.189936821502608     0.00123050047368512     0.189936821502608
     'BiFeO3'                                                       1          0.647847249390884        24219648           24186880       3682304                  100    0.000358400137967285    0.0553217040443189

	Display all 94 rows.

