                         FunctionName                          NumCalls         TotalTime          TotalMemAllocated    TotalMemFreed    PeakMem      PercentageTime            SelfTime          SelfPercentageTime
    ________________________________________________________    ________    ____________________    _________________    _____________    _______    __________________    ____________________    __________________

     'swpref.swpref>swpref.swpref'                                 14          0.188472148000337            0                  0             0         28.0108588241396      0.0436856111259095      6.49258523806884
     '@swpref\private\datastruct'                                  14         0.0155776039673249            0                  0             0         2.31515409664835      0.0155776039673249      2.31515409664835
     'swpref.swpref>swpref.set_data'                              154          0.120147230599256            0                  0             0         17.8563631291617      0.0272629069433534       4.0518317726424
     'swpref.swpref>swpref.get_data'                                4        0.00212500054119796            0                  0             0        0.315819025740663     0.00109340027846864     0.162501893056396
     'swpref.swpref>swpref.get_set_static'                        172        0.00645950164511447            0                  0             0        0.960015527892616     0.00645950164511447     0.960015527892616
     'swpref.swpref>swpref.check_names'                           158        0.00710320180905288            0                  0             0         1.05568268406639     0.00710320180905288      1.05568268406639
     '@swpref\private\datastruct>mustBeInteger'                    84         0.0118259030118367            0                  0             0         1.75757374894424      0.0118259030118367      1.75757374894424
     '@swpref\private\datastruct>mustBeNonnegative'                84        0.00154230039279511            0                  0             0        0.229217733364623     0.00154230039279511     0.229217733364623
     '@swpref\private\datastruct>@(x)check_size(x,Size 1 )'        14        0.00199960050926092            0                  0             0        0.297181987704014     0.00103220026288213     0.153406305115064
     '@swpref\private\datastruct>@(x)check_size(x,Size 2 )'        14        0.00178100045358756            0                  0             0        0.264693498750174    0.000946100240954067     0.140610061295643

                               :                                   :                 :                      :                  :             :               :                      :                      :         

     'spinw.spinw>spinw.addlistener'                                5       0.000901900229697149            0                  0             0        0.134041025560237    0.000901900229697149     0.134041025560237
     'profile_spinwave'                                             1          0.672711171326975            0                  0             0          99.978791823542      0.0520662132602924      7.73811602730281
     'swfiles\private\sw_issymspec'                                 3       0.000623400158768381            0                  0             0       0.0926501555984607    0.000623400158768381    0.0926501555984607
     'strtok'                                                       1        0.00231310058910353            0                  0             0        0.343774582795636    0.000871000221827495     0.129448645374173
     'strtok>doStrtok'                                              1        0.00144210036727604            0                  0             0        0.214325937421463     0.00144210036727604     0.214325937421463
     'sw_parstr'                                                    1        0.00692940176478925            0                  0             0         1.02985240327875     0.00461630117568572     0.686077820483115
     'sumn'                                                         1        0.00100460025585293            0                  0             0        0.149304373298386     0.00100460025585293     0.149304373298386
     'sw_resconv'                                                   1        0.00417800106405887            0                  0             0        0.620937359785641     0.00355590090562157     0.528480411120575
     'gaussfwhm'                                                    1       0.000622100158437295            0                  0             0       0.0924569486650664    0.000622100158437295    0.0924569486650664
     'BiFeO3'                                                       1          0.672853871363318            0                  0             0                      100     0.00014270003634298    0.0212081764579648

	Display all 93 rows.

